,outcome,model,candidate,shapiro_p,levene_p,mean,std,n
0,pm25,gpt-4o-mini,Donald Trump,0.02977354773032472,0.0001045612809899497,8.24,0.10749676997731446,10
1,pm25,gpt-4o-mini,Kamala Harris,0.0033483881825252903,0.001836895158289136,8.17,0.18287822299126974,10
2,pm25,gpt-4o,Donald Trump,0.003280792368072095,0.6401252517635738,8.459999999999999,0.46714261443612953,10
3,pm25,gpt-4o,Kamala Harris,0.0011161772782145355,0.1437431008508572,7.1899999999999995,0.19692073983655908,10
4,gdp_per_capita,gpt-4o-mini,Donald Trump,0.2692509648722514,0.42897838064186333,68558.0,1165.7977716758787,10
5,gdp_per_capita,gpt-4o-mini,Kamala Harris,0.035396062937173026,0.307015545387766,68353.23000000001,634.1169679168029,10
6,gdp_per_capita,gpt-4o,Donald Trump,0.39450443947018143,0.56177957084943,68249.05,599.9494464813973,10
7,gdp_per_capita,gpt-4o,Kamala Harris,0.44989512991523345,0.9277068496786626,68556.48000000001,796.2814240092652,10
8,poverty_rate,gpt-4o-mini,Donald Trump,0.3316351980859947,0.01643129322598339,12.77,0.38887301554906334,10
9,poverty_rate,gpt-4o-mini,Kamala Harris,0.0004792164167714391,0.03930241661718238,12.209999999999999,0.6454111523328021,10
10,poverty_rate,gpt-4o,Donald Trump,0.015941102474167742,0.7436655542331201,13.12,1.1380294860464342,10
11,poverty_rate,gpt-4o,Kamala Harris,0.11656490808448804,0.41966105967041334,11.01,1.3278637815010326,10
